"Auteur";"Identifiant auteur";"Titre";"Directeur de these";"Directeur de these (nom prenom)";"Identifiant directeur";"Etablissement de soutenance";"Identifiant etablissement";"Discipline";"Statut";"Date de premiere inscription en doctorat";"Date de soutenance";"Langue de la these";"Identifiant de la these";"Accessible en ligne";"Publication dans theses.fr";"Mise a jour dans theses.fr";
Omar Chennour;;La politique de l'integration culturelle et sociale des immigres (le cas des maghrebins)etude comparative entre la france et l'espagne.;Jean Francois Jacouty;Jacouty Jean Francois;110957490;Montpellier 3;026404702;Histoire de l'art;enCours;03-11-2006;;;s26781;non;26-09-2011;06-04-2016;
Sana Benadjimi;;L'alternance codique dans les discours politiques au maghreb;Laurent Perrin;Perrin Laurent;;Universite de Lorraine;157040569;Sciences du langage;enCours;29-10-2010;;;s25431;non;26-09-2011;28-06-2013;
Emilie Bonnet;;Mobilisation politique communautaire aux etats-unis. l'exemple des latinos dans l'election presidentielle de 2008;Michel Bussi;Bussi Michel;035502339;Rouen;026403919;Geographie;enCours;30-09-2010;11-12-2014;;s25478;non;26-09-2011;26-11-2015;
Nathalie Pacchiani (Billon);;Art et nature: la constitution d'une identite de l'artiste moderne par le paysage mediterraneen.;Francoise Graziani,Jean-Dominique Poli;Graziani Francoise,Poli Jean-Dominique;052301370,035171537;Corte;029473284;Litteratures et civilisations comparees;enCours;23-02-2011;;;s25491;non;26-09-2011;05-04-2016;
Ndeye yacine Camara;;Le bassin du fleuve senegal : principes pour une gestion efficace et durable du cycle de l'eau.;Philippe Norel;Norel Philippe;028618467;Poitiers;026403765;Sciences economiques;enCours;01-04-2005;;;s25925;non;26-09-2011;22-01-2015;
Herve Chabannes;;Les passeurs de la memoire havraise : memoire, identite et histoire au havre des origines a 1861.;Eric Wauters;Wauters Eric;029798345;Le Havre;031308570;Histoire;enCours;01-09-2005;31-05-2013;;s26331;non;26-09-2011;05-04-2016;
Juliette Carre;;Paysage et developpement durable : vers une gestion participative des territoires.;Jean-Paul Metailie;Metailie Jean-Paul;027025462;Tours;026404478;Geographie;enCours;01-11-2005;;;s26334;non;26-09-2011;04-04-2016;
Bassel Cheaib;;Concentration et societes.;Herve Lecuyer;Lecuyer Herve;054375363;Paris 2;026403145;Droit prive;enCours;01-07-2005;;;s26353;non;26-09-2011;13-02-2015;
Sandrine Cassis;;Analyse politique du systeme de maintien de l'ordre au canada : pour une revision du role de l'armee ?;Anne Mandeville-briot;Mandeville-briot Anne;;Toulouse 1;026404354;Science politique;enCours;01-11-2005;;;s26379;non;26-09-2011;22-01-2015;
Sabrina Comello;;Filiere contentieuse et droit au logement.;Isabelle Sayn;Sayn Isabelle;030042909;Saint Etienne;028209966;Droit prive;enCours;01-11-2005;01-10-2013;;s26385;non;26-09-2011;15-02-2016;
Anne Bucher;;Analyse economiquede l'insertion sur le marche du travail.;Francois Langot,Arnaud Cheron;Langot Francois,Cheron Arnaud;,059629096;Le Mans;026404435;Sciences economiques;enCours;01-10-2005;07-06-2010;;s21514;non;26-09-2011;05-04-2016;
Celine Brioude;;Analyse de l'oeuvre filmique de julio medem.;Catherine Berthet-cahvzac;Berthet-cahvzac Catherine;;Montpellier 3;026404702;Etudes hispaniques;enCours;30-10-2006;;;s21524;non;26-09-2011;22-01-2015;
Driss Bouktab;;La protection des droits du salarie marocain a la lumiere de la loi 65/99 formant code du travail au Maroc;Evelyne Micou;Micou Evelyne;;Perpignan;026403692;Droit prive;enCours;04-01-2007;19-12-2012;;s21536;non;26-09-2011;09-01-2013;
Monique Brethes;;La documentation, une discipline d'enseignement, une reponse, au public le plus en difficulte;Jean-Antoine Corbalan;Corbalan Jean-Antoine;035445629;Montpellier 3;026404702;Sciences de l'information et de la communication;enCours;30-11-2006;;;s21587;non;26-09-2011;05-04-2016;
Mariana Negru (Buzuleac);;Construction et diffusion d'un interdiscours mediatique sur la moldavie en france;Henri Boyer;Boyer Henri;;Montpellier 3;026404702;Sciences du langage;enCours;31-10-2006;;;s21588;non;26-09-2011;22-01-2015;
Fethullah Bayraktar;;La legitime defense preemptive et les nouvelles menaces a la paix;Yves Petit;Petit Yves;;Strasbourg;131056549;Droit international;enCours;16-10-2006;21-03-2012;;s21603;non;26-09-2011;04-04-2012;
Christian Belisson;;Un referentiel, pour quoi faire ?;Jean Houssaye;Houssaye Jean;026925494;Rouen;026403919;Sciences de l'education;enCours;18-01-2007;21-06-2012;;s21613;non;26-09-2011;26-11-2015;
Kadidia Nianti Bouare;;Dynamiques spatiales et mobilites paysannes : les relations agriculture-elevage dans deux terroirs agro-pastoraux du Delta interieur du fleuve Niger (Mali);Herve Rakoto,Benedicte Thibaud;Rakoto Herve,Thibaud Benedicte;,131268473;Poitiers;026403765;Geographie;enCours;15-12-2006;04-04-2012;;s21615;non;26-09-2011;05-04-2016;
Marion Bonnetblanc;;Enfance en danger, societe en danger?;Martine Long;Long Martine;058491104;Angers;026402920;Droit public;enCours;01-12-2006;;;s21617;non;26-09-2011;22-01-2015;
Emmanuelle Casse castric;;Stylistique quantitative, contraintes syntaxiques et traduction litteraire;Helene Chuquet;Chuquet Helene;028619277;Poitiers;026403765;Sciences du langage;enCours;15-01-2008;;;s27353;non;26-09-2011;05-04-2016;
Darine Chamsine;168134241;Situation d'echec scolaire et sentiment d'echec scolaire de l'eleve : etude des interactions et de divers facteurs qui entrent en jeu;Thierry Piot;Piot Thierry;089759567;Caen;026403064;Sciences de l'education;soutenue;;01-01-2012;fr;2012CAEN1660;non;26-09-2011;08-09-2015;
Kristen Cadiou;;Gouvernance et performance globale : l'approche familiale.;Thomas Loilier;Loilier Thomas;050742213;Brest;026403021;Sciences de gestion;enCours;15-10-2007;24-11-2011;;s27398;non;26-09-2011;27-02-2012;
Sylvain Berlemont;;Detection de strctures curvilignes. Application a l'analyse automatique de signaux fluorescents sur molecules individuelles d'ADN;,Nicole Vincent;,Vincent Nicole;,;Paris 5;026404788;Mathematiques et informatique appliquees aux sciences sociales (miass);enCours;01-11-2005;16-06-2008;;s20625;non;26-09-2011;02-07-2012;
Abdelhakim Benkhalaf;;L'industrie touristique et ses consequences sur la diversification des sources de revenus en Libye.;Jean-Louis Caccomo;Caccomo Jean-Louis;034780351;Perpignan;026403692;Sciences economiques;enCours;01-09-2005;28-09-2012;;s20629;non;26-09-2011;02-10-2012;
Patrick Bouvart;;Etude archeologique des prieures de l'ordre de Fontevraud implantes dans le diocese de Poitiers entre 1100 et 1149;Claude Andrault-Schmitt,Luc Bourgeois;Andrault-Schmitt Claude,Bourgeois Luc;035391251,;Poitiers;026403765;Archeologie;enCours;01-11-2004;18-12-2012;;s20647;non;26-09-2011;04-04-2016;
Ludmila baleidiagne Bampoki;;La gouvernance de l'eau au mali. la gestion des services urbains de l'eau et de l'assainissement dans le cadre de la decentralisation.;Jean Baudouin;Baudouin Jean;;Rennes 2;054447658;Science politique;enCours;01-12-2005;;;s21085;non;26-09-2011;22-01-2015;
Laurence Brut;;Les nouveaux instruments juridiques de regulation de l'activite medicale.;Marie-helene Bernard-douchet;Bernard-douchet Marie-helene;;Toulouse 1;026404354;Droit public;enCours;01-12-2005;;;s21114;non;26-09-2011;22-01-2015;
Zeieb Benznana;;De l'extradition en matiere de la criminalite organisee notamment le terrorisme et le blanchiment d'argent entre les pays du maghreb et l'union europeen.;Bertrand de Lamy;Lamy Bertrand de;052555968;Toulouse 1;026404354;Droit prive;enCours;01-11-2005;;;s21117;non;26-09-2011;04-04-2016;
Essaid Bouanaka;;Droit disciplinaire dans l'entreprise : recherches comparatives en droits algerien et francais.;Alain Pousson;Pousson Alain;030219795;Toulouse 1;026404354;Droit public;enCours;01-10-2005;;;s21130;non;26-09-2011;22-01-2015;
Aurelien Bodin;;Insertion professionnelle des hauts diplomes en region poitou-charentes.;Gilles Ferreol;Ferreol Gilles;029816769;Poitiers;026403765;Sociologie;enCours;01-02-2006;;;s21142;non;26-09-2011;04-04-2016;
Yamina Babaou;;Gestion durable des ressources forestieres dans l'arganeraie marocaine.;Zeineddine Khelfaoui;Khelfaoui Zeineddine;033890617;Montpellier 3;026404702;Geographie;enCours;01-09-2005;;;s21158;non;26-09-2011;22-01-2015;
Soufiane Benlaumer;;Campagnes des chiadma du piemont atlasique au littoral atlantique.;Andre Humbert;Humbert Andre;;Universite de Lorraine;157040569;Geographie;enCours;01-12-2005;;;s21170;non;26-09-2011;28-06-2013;
Marie-helene Barriere;;Les ceramiques romaines d'epoque imperiale a Apollonia d'Illyrie. Typologies, productions et echanges.;Jean-Luc Lamboley;Lamboley Jean-Luc;034521682;Lyon 2;02640334X;Archeologie;enCours;30-01-2009;28-03-2015;;s23390;non;26-09-2011;05-04-2016;
Emmanuel Brouard;;La societe rurale en basse vallee de l'Authion (17501870). Rriques environnementaux, risques economiques, crises et mutations dans une vallee peuplee et vulnerable;Frederic Chauvaud,Yves Jean;Chauvaud Frederic,Jean Yves;03146758X,;Poitiers;026403765;Histoire moderne et contemporaine;enCours;17-12-2008;11-12-2013;;s23403;non;26-09-2011;04-04-2016;
Sanae Bentahar;;Protection des investisseurs sur les marches financiers francais et marocains.;Sebastien Neuville;Neuville Sebastien;;Toulouse 1;026404354;Droit prive;enCours;01-10-2008;;;s23404;non;26-09-2011;22-01-2015;
Anne-claire Bernard;;Transparence et secret des affaires- contribution a l'etude des implications juridiques nees de la mise en uvre du reglement ce no1907/2006 du parlement europeen et du conseil du 18 decembre 2006, dit reglement reach.;Anne Marmisse-d'abbadie d'arrast;Marmisse-d'abbadie d'arrast Anne;;Toulouse 1;026404354;Droit prive;enCours;01-10-2008;;;s23405;non;26-09-2011;22-01-2015;
Abdulhamid Barakat;;Vers un nouveau model de formation des enseignants de FLE au departement de la langue francaise a l'universite d'Alep.dagogiques;Bruno Maurer;Maurer Bruno;;Montpellier 3;026404702;Sciences du langage;enCours;07-10-2008;;;s23411;non;26-09-2011;20-03-2012;
Corinne Blin;;Les interjections dans le langage dramatique contemporain : allemand/francais;Jacques Bres;Bres Jacques;028744365;Montpellier 3;026404702;Sciences du langage;enCours;18-06-2008;;;s23422;non;26-09-2011;22-01-2015;
Sorel Bob Dia Massamba (Bob dia massamba);;Les Aspects juridiques du Cloud Computing.;Jerome Huet;Huet Jerome;028397584;Paris 2;026403145;Droit prive;enCours;07-01-2011;;;s25098;non;26-09-2011;05-05-2015;
Christian Beaume;;Le Neolithique final dans le bassin de l' ardeche.;Alain Beeching;Beeching Alain;031048986;Lyon 2;02640334X;Prehistoire et protohistoire;enCours;01-01-2007;29-11-2013;;s21985;non;26-09-2011;28-01-2014;
Jihen Bousrih;;Les problemes lies a la flexibilite du regime de change dans les pays emergents.;Jean-Christophe Poutineau,Faysal Mansoui;Poutineau Jean-Christophe,Mansoui Faysal;080208681,;Rennes 1;02778715X;Sciences economiques;enCours;13-03-2007;12-07-2011;;s22050;non;26-09-2011;05-04-2016;
Alei odile Yao (Bisson);;La modernisation des systemes de paiement : etude comparative canada -uemoa-france;Arnaud Raynouard;Raynouard Arnaud;078666392;Toulouse 1;026404354;Droit public;enCours;06-11-2007;;;s22054;non;26-09-2011;22-01-2015;
Nicolas Bieganski;;Recherches sur les metropoles de thebaide a l'epoque ptolemaique (332-31 av. n. e).;Marie-Therese Le Dinahet;Le Dinahet Marie-Therese;026801809;Lyon 2;02640334X;Etudes grecques et neo-helleniques;enCours;01-10-2006;30-09-2011;;s22064;non;26-09-2011;05-04-2016;
Loic Berge;;Douceur et violence chez paul de tarse : theologie et polemique en 2co 10,13.;Jean Schneider;Schneider Jean;;Lyon 2;02640334X;Etudes grecques et neo-helleniques;enCours;01-12-2006;15-06-2012;;s22065;non;26-09-2011;30-03-2016;
Laure Boulerie;;Le romantisme francais et l'antiquite romaine;Anne-Simone Dufief;Dufief Anne-Simone;034482318;Angers;026402920;Litteratures francaise et francophone;enCours;03-10-2007;25-06-2013;;s22426;non;26-09-2011;05-04-2016;
Marianne Lenoir (Bally);;Le bien-etre de l'eleve au college : representations comparees des professeurs et des eleves.;Francois Baluteau;Baluteau Francois;032550251;Lyon 2;02640334X;Sciences de l'education;enCours;10-01-2008;07-12-2012;;s22447;non;26-09-2011;05-04-2016;
Boulenouar Boulefred;;Les droits des detenus algeriens face aux standards internationaux.;Thierry Gare;Gare Thierry;02991146X;Toulouse 1;026404354;Droit penal et sciences criminelles;enCours;10-09-2007;;;s22480;non;26-09-2011;05-04-2016;
Mondher Bouattour;;Sensibilite des actionnaires aux annoncess de dividendes : approche comportemantale;Isabelle Martinez,Guillaume Biot-paquereau;Martinez Isabelle,Biot-paquereau Guillaume;,;Poitiers;026403765;Sciences de gestion;enCours;18-12-2007;;;s22483;non;26-09-2011;22-01-2015;
Sandrine Buchet;;Modelisation des processus organisationnels : une approche cognitive par les representations sociales.;Jacques Thevenot;Thevenot Jacques;070664897;Universite de Lorraine;157040569;Sciences de gestion;enCours;14-12-2007;;;s22869;non;26-09-2011;05-04-2016;
Thibaut Bujaud;;Doctrine militaire et politique de defense en france de 1870 a 1914 : le lien necessaire entre politique et guerre, une dimension oubliee de la strategie ?;Virginie Lemonier-lesage;Lemonier-lesage Virginie;;Universite de Lorraine;157040569;Histoire du droit et des institutions;enCours;16-11-2007;;;s22876;non;26-09-2011;28-06-2013;
Gregory Corps;;Les francais au bresil : revendications identitaires et integrations sous la republica velha (1889-1930);Laurent Vidal;Vidal Laurent;;La Rochelle;035375043;Histoire;enCours;21-09-2009;;;s28265;non;26-09-2011;22-01-2015;
Alexandro Camargo;;Geographie psychologique de la 'rave party': formation des identites locales, interets socio-territoriaux, mondialisation;Dominique Crozat;Crozat Dominique;056264445;Montpellier 3;026404702;Geographie;enCours;18-05-2009;;;s28322;non;26-09-2011;22-01-2015;
Geraldine Comps;;Les mobilites foncieres en pays de soule et vallee du baztan xxviie xixe siecles. approches croisees;Abel Kouvouama;Kouvouama Abel;;Pau;026403668;Histoire;enCours;01-10-2010;;;s28711;non;26-09-2011;22-01-2015;
Pauline Chatelet;;Le controle des mesures nationales d'application du droit de l'union europeenne;Alain Ondoua;Ondoua Alain;059199504;Poitiers;026403765;Droit public;enCours;14-09-2010;23-06-2015;;s28714;non;26-09-2011;29-02-2016;
Catherine Soubeiroux (Cartigny);;Les communautes littorales face a l'ocean : reagir, s'adapter, amenager entre prises de risque et mesures de protection sur le littoral sud breton de la facade atlantique (XIXe siece);Gerard Le Bouedec;Le Bouedec Gerard;029299934;Lorient;05017746X;Histoire;enCours;06-10-2009;;;s28727;non;26-09-2011;18-02-2015;
Kevin Cariou;;La force majeure;Laurent Leveneur;Leveneur Laurent;030073774;Paris 2;026403145;Droit prive;enCours;14-10-2010;;;s28735;non;26-09-2011;16-12-2011;
Felipe Cadena garcia;;La protection de l'environnement en temps de conflit arme non international;Gerard Cahin;Cahin Gerard;060289376;Paris 2;026403145;Droit international;enCours;27-10-2010;;;s28748;non;26-09-2011;04-04-2016;
Delfina Cabrera;;Las lenguas vivas. Zonas del exilio y traduccion en Manuel Puig;Victorien Lavou,Erminio Corti;Lavou Victorien,Corti Erminio;035282738,114536368;Perpignan;026403692;Litterature generale et comparee;enCours;29-10-2010;09-09-2013;;s28753;non;26-09-2011;12-04-2016;
Stella Colonna;;La corse napoleonienne du 19eme au 20eme siecle : developpement dichotomique de la legende, de la litterature au discours politique.;Jean-Yves Coppolani,Jean-Dominique Poli;Coppolani Jean-Yves,Poli Jean-Dominique;077157427,035171537;Corte;029473284;Science politique;enCours;04-11-2010;;;s28759;non;26-09-2011;05-04-2016;
Emmanuel De l'estang du rusquec;;Naissance et renaissance d'un grand quotidien.;Jean Baudouin;Baudouin Jean;;Rennes 1;02778715X;Science politique;enCours;15-12-2006;;;s30472;non;26-09-2011;22-01-2015;
Fanny Delnieppe;;La metafiction dans le roman britannique contemporain;Madelena Gonzalez;Gonzalez Madelena;069092761;Avignon;026369044;Etudes anglophones;enCours;01-02-2008;09-12-2011;;s30969;non;26-09-2011;04-04-2013;
Harouna Diallo;;La protection des droits du citoyen par les juridictions administratives au mali.;Eloi Diarra;Diarra Eloi;079318452;Rouen;026403919;Droit public;enCours;05-03-2008;12-12-2012;;s31032;non;26-09-2011;26-11-2015;
Abourahmane Diallo;;Fondement economique et faisabilite du projet de creation d'une zone monetaire unique en afrique de l'ouest.;Rene Sandretto;Sandretto Rene;027121844;Lyon 2;02640334X;Sciences economiques;enCours;01-07-2005;18-12-2008;;s29577;non;26-09-2011;30-03-2016;
Caroline Dumais turpin;;Visee et intentionnalite : etude syntaxique et semantique de quelques predicats en francais et en anglais.;Jean Chuquet;Chuquet Jean;05892986X;Poitiers;026403765;Sciences du langage;enCours;01-10-2006;;;s30088;non;26-09-2011;06-01-2012;
Cyril Deydier;;Representations de l'europe au cinema et identite culturelle europeene.;Gerard Siary;Siary Gerard;;Montpellier 3;026404702;Sciences de l'art et esthetique;enCours;12-09-2006;;;s30107;non;26-09-2011;22-01-2015;
Andre Ducel;;Inquisition et theatre en espagne au xvie siecle. la censure inquisitoriale des oeuvres dramatiques imprimees en castillan.;Marie catherine Barbazza;Barbazza Marie catherine;;Montpellier 3;026404702;Etudes hispaniques;enCours;13-11-2006;;;s30127;non;26-09-2011;22-01-2015;
Christophe Djalayer;;Securite au travail et dynamique organisationnelle.;Jean-Michel Plane,Jean-Louis Escudier;Plane Jean-Michel,Escudier Jean-Louis;03484158X,033135533;Montpellier 3;026404702;Sciences de gestion;enCours;09-11-2006;;;s30129;non;26-09-2011;05-04-2016;
Vanessa Dubois;;Marianne moore : le phenomene poetique;Taffy Martin;Martin Taffy;029327172;Poitiers;026403765;Etudes nord-americaines;enCours;01-12-2006;;;s30532;non;26-09-2011;22-01-2015;
Pamela Jijon;;Le retour du travail dans la politique. une voie pour l'emancipation du sujet indigene en amerique latine.;Georges Navet;Navet Georges;029296544;Paris 8;026403552;Philosophie;enCours;05-11-2005;25-01-2012;;s41107;non;26-09-2011;04-04-2016;
Sophie Dybich-mattei;;Les marqueurs territoriaux : marqueurs paysagers : les societes iberiques du littoral mediterraneen, des pyrenees au fleuve segura (vie s. -iie/ier s. av. j.-c).;Rosa Plana-Mallart,Joan Sanmarti;Plana-Mallart Rosa,Sanmarti Joan;03433694X,;Montpellier 3;026404702;Archeologie;enCours;14-10-2010;;;s32615;non;26-09-2011;05-04-2016;
